Date,Open,High,Low,Close,Adj Close,Volume
2017-02-13,86.400002,87.000000,83.150002,83.550003,77.518913,134038
2017-02-14,83.550003,98.400002,83.400002,94.949997,88.095985,2855001
2017-02-15,93.050003,93.900002,90.099998,92.650002,85.962029,718476
2017-02-16,92.500000,99.949997,92.500000,96.949997,89.951614,1085269
2017-02-17,97.199997,98.400002,94.550003,96.150002,89.209366,211098
2017-02-20,96.000000,98.500000,95.599998,97.500000,90.461914,229591
2017-02-21,97.349998,102.349998,97.000000,98.550003,91.436127,395759
2017-02-22,99.000000,100.449997,95.599998,97.849998,90.786652,202176
2017-02-23,98.150002,100.099998,95.449997,97.750000,90.693863,195493
2017-02-27,99.800003,100.500000,98.000000,98.250000,91.157784,159314
2017-02-28,98.000000,98.500000,96.250000,96.699997,89.719658,85009
2017-03-01,96.800003,99.400002,95.000000,97.050003,90.044395,147410
2017-03-02,96.949997,98.500000,93.650002,94.599998,87.771248,101165
2017-03-03,94.000000,94.699997,93.150002,93.800003,87.029015,60170
2017-03-06,93.949997,96.900002,93.000000,94.800003,87.956825,190013
2017-03-07,94.550003,95.250000,93.000000,93.750000,86.982613,84082
2017-03-08,93.849998,93.849998,90.599998,92.349998,85.683678,153264
2017-03-09,92.150002,95.650002,90.400002,94.699997,87.864029,182079
2017-03-10,94.150002,99.800003,93.650002,99.050003,91.900032,569999
2017-03-14,101.150002,105.000000,101.000000,102.400002,95.008209,301917
2017-03-15,103.349998,103.400002,99.000000,101.500000,94.173180,177419
2017-03-16,101.050003,104.000000,99.150002,99.500000,92.317551,127084
2017-03-17,99.500000,100.199997,97.500000,99.099998,91.946419,145414
2017-03-20,99.000000,100.000000,97.400002,97.849998,90.786652,46799
2017-03-21,98.000000,100.000000,96.050003,99.500000,92.317551,147376
2017-03-22,97.099998,98.800003,96.500000,97.050003,90.044395,54564
2017-03-23,97.150002,102.500000,97.150002,102.099998,94.729858,195000
2017-03-24,102.500000,114.699997,101.150002,109.449997,101.549301,844014
2017-03-27,110.000000,119.699997,109.800003,118.750000,110.177971,1028252
2017-03-28,120.000000,123.900002,116.349998,121.800003,113.007813,455374
2017-03-29,122.050003,122.500000,116.050003,116.650002,108.229568,146804
2017-03-30,117.000000,120.900002,113.199997,115.349998,107.023415,198345
2017-03-31,115.449997,122.550003,115.099998,120.199997,111.523308,189801
2017-04-03,120.849998,129.899994,120.849998,129.050003,119.734474,408849
2017-04-05,129.449997,133.800003,126.300003,128.500000,119.224167,374815
2017-04-06,128.000000,131.949997,126.550003,127.550003,118.342751,193222
2017-04-07,126.050003,136.250000,124.500000,127.349998,118.157181,425942
2017-04-10,127.949997,131.449997,127.349998,128.199997,118.945824,162609
2017-04-11,128.600006,131.600006,128.399994,128.899994,119.595276,153207
2017-04-12,129.899994,129.949997,125.400002,127.800003,118.574707,114719
2017-04-13,128.899994,133.000000,126.500000,130.300003,120.894234,236700
2017-04-17,130.350006,133.000000,128.300003,130.399994,120.987015,111025
2017-04-18,131.300003,132.399994,127.699997,128.300003,119.038612,97295
2017-04-19,128.600006,130.350006,127.400002,128.600006,119.316963,45295
2017-04-20,129.850006,130.300003,126.050003,126.699997,117.554108,115225
2017-04-21,127.750000,134.399994,127.750000,133.500000,123.863235,244448
2017-04-24,134.550003,136.000000,131.600006,133.500000,123.863235,176971
2017-04-25,133.699997,137.500000,131.050003,134.750000,125.023018,147621
2017-04-26,135.500000,136.699997,131.100006,131.850006,122.332359,126824
2017-04-27,135.899994,135.899994,131.149994,132.350006,122.796257,64698
2017-04-28,131.750000,134.000000,130.100006,132.250000,122.703476,58130
2017-05-02,132.000000,133.550003,129.800003,130.399994,120.987015,45980
